Pilea cadierei
Anthurium clarinervium
Dypsis lutescens
Syngonium podophyllum
Asparagus densiflorus 'Sprengeri'
Peperomia obtusifolia
Soleirolia soleirolii
Asplenium nidus
Philodendron erubscens
Nephrolepsis exaltata
Pteris cretica
Pellaea rotundifolia
Caladium x hortulanum
Calathea orbifolia
Calathea ornata
Calathea lancifolia
Calathea roseopicta 'Corona'
Darlingtonia californica
Drosera capensis
Zamia furfuracea
Aspidistra elatior
Chamaedorea cataractarum
Radermachera sinica
Aglaonema commutatum
Pilea peperomioides
Selaginella kraussiana
Coffea arabica
Coleus blumei
Acalypha wilkesiana
Nertera granadensis
Dracaena fragrans
Ficus pumila
Codiaeum variegatum
Dracaena marginata
Dieffenbachia
Alocasia amazonica
Hedera helix
Chamaerops humilis
Dizygotheca elegantissima
Isolepis cernua
Ficus binnendiijkii 'Alii'
Ficus lyrata
Chlorophytum orchidastrum
Caryota mitis
Asparagus densiflorus 'Myers'
Pilea involucrata
Aucuba japonica
Cissus rhombifolia
Philodendron scandens
Cyrtomium falcatum
Tradescantia zebrina
Iresine herbstii
Begonia masoniana
Dracaena deremensis
Fatsia japonica
Solanum pseudocapsicum
Juncus effusus 'Spiralis'
Howea forsteriana
Rhapis excelsa
Dracaena sanderiana
Adiantum
Polyscias fruticosa
Pachira aquatica
Monstera adansonii
Tradescantia spathacea
Muehlenbeckia complexa
Fittonia verschaffeltii
Araucaria heterophylla
Capsicum annuum
Cyperus papyrus
Chamaedorea elegans
Calathea makoyana
Peperomia caperata
Strobilanthes dyerianus
Philodendron hybrid
Philodendron hederaceum 'Brasil'
Philodendron hederaceum hybrid
Philodendron hybrid
Tolmiea menziesii
Nepenthes hybrids
Dracaena reflexa
Hypoestes phyllostachya
Epipremnum aureum
Maranta leuconeura
Tradescantia pallida
Gynura aurantiaca
Sarracenia purpurea
Phoenix roebelenii
Davallia fejeensis
Begonia rex
Ceropegia woodii
Ficus elastica
Cycas revoluta
Scindapsus pictus
Schefflera spp.
Pandanus veitchii
Mimosa pudica
Breynia nivosa
Chlorophytum comosum
Philodendron bipinnatifidum
Platycerium bifurcatum
Saxifraga stolonifera
Stromanthe sanguinea
Drosera rotundifolia
Plectranthus species
Ipomea batatas
Monstera deliciosa
Cordyline terminalis
Ficus triangularis
Dionaea muscipula
Peperomia argyreia
Ficus benjamina
Trachycarpus fortunei
Aphelandra squarrosa
Zamioculcas zamiifolia
Achimenes hybrids
Agapanthus africanus
Saintpaulia
Tillandsia ionantha
Hippeastrum hybrids
Eucharis x grandiflora
Brugmansia x candida
Begonia x corallina
Anthurium andraeanum
Rhododendron simsii
Michelia figo
Tacca chantrieri
Begonia x hiemalis
Strelitzia reginae
Clerodendrum thomsoniae
Scadoxus multiflorus
Callistemon citrinus
Bougainvillea glabra
Justicia carnea
Camellia japonica
Campanula isophylla
Manettia inflata
Streptocarpus hybrids
Celosia argentea var. plumosa
Cuphea ignea
Senecio hybrids
Clivia miniata
Ardisia crenata
Crocus hybrids
Cyclamen persicum
Narcissus spp.
Begonia hybrids
Iridaceae x hollandica
Acalypha pendula
Iris reticulata
Lilium longiflorum
Crossandra infundibuliformis
Russelia equisetiformis
Episcia cupreata
Anthurium scherzerianum
Chrysanthemum morifolium
Abutilon hybrids
Freesia hybrids
Fuchsia hybrids
Gardenia jasminoides
Pelargonium x hortorum
Gerbera jamesonii
Gloriosa superba
Sinningia speciosa hybrids
Musella lasiocarpa
Pachystachys lutea
Allamanda cathartica
Columnea hybrids
Muscari spp.
Heliconia psittacorum
Helleborus niger
Hibiscus rosa-sinensis
Hyacinthus orientalis hybrids
Hydrangea macrophylla
Impatiens hybrids
Pelargonium peltatum
Ixora coccinea
Jasminum polyanthum
Kohleria
Lantana camara
Convallaria majalis
Aeschynanthus lobbianus
Stephanotis floribunda
Mandevilla hybrids
Pelargonium domesticum
Medinilla magnifica
Rosa chinensis hybrids
Plectranthus hybrid
Impatiens x hawkeri hybrid
Nerium oleander
Viola x wittrockiana
Narcissus jonquilla
Passiflora caerulea
Spathiphyllum
Catharanthus roseus
Exacum affine
Eucomis comosa
Zantedeschia rehmannii
Tillandsia cyanea
Plumeria rubra
Calceolaria herbeohybrida
Euphorbia pulcherrima
Calliandra haematocephala
Primula hybrids
Oxalis regnellii
Billbergia nutans
Alpinia purpurata
Lycoris radiata
Guzmania lingulata
Pelargonium species and hybrids
Oxalis species
Justicia brandegeana
Curcuma alismatifolia
Antirrinum majus
Hymenocallis littoralis
Tulipa hybrids
Aechmea fasciata
Neomarica spp.
Begonia x semperflorens-cultorum
Hoya carnosa
Aloe barbadensis
Agave parryi
Cactaceae family
Schlumbergera hybrids
Euphorbia milii
Sansevieria cylindrica
Adenium obesum
Sedum morganianum
Hatiora gaertneri
Echeveria species
Kalanchoe blossfeldiana
Gasteria Sp.
Haworthia species
Hoya kerrii
Crassula ovata
Lithops species
Pachypodium lamerei
Rhipsalis baccifera
Sansevieria trifasciata
Kalanchoe daigremontiana
Epiphyllum species and hybrids
Kalanchoe thyrsiflora
Kalanchoe tomentosa
Beaucarnea recurvata
Senecio radicans
Senecio rowleyanus
Ceropegia woodii
Sedum rubrotinctum
Schlumbergera truncata
Faucaria tigrina
Yucca elephantipes
